Version,"3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799"
Class,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement
Mode,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan
Group,"","","","","","","","","","","","","","","","","",""
DUT Type,"","","","","","","","","","","","","","","","","",""
DUT Manufacturer,"","","","","","","","","","","","","","","","","",""
DUT Model,"","","","","","","","","","","","","","","","","",""
DUT Serial Number,"","","","","","","","","","","","","","","","","",""
DUT Lot,"","","","","","","","","","","","","","","","","",""
Part Number,"","","","","","","","","","","","","","","","","",""
R14,-100,-100,57.6524773702778,58.7693992981056,68.5986578181928,69.2362036998303,-100,-100,-100,-100,-100,-100,73.3301351676706,75.642399968964,75.7159009874652,73.4694892908247,73.5038977788334,-7.19846175939374
CQS Qa,0,0,2.23570815945285,2.5750651486285,7.2191326716668,7.79312661872511,0,0,0,0,0,0,40.5766972333974,42.0640532991746,42.4850819410251,53.9524138500487,53.9434939503646,41.700433554273
Q1,0,0,15.1260278712412,16.3472275523719,28.3051630724802,29.2813124860774,0,0,0,0,0,0,62.9754508661501,65.1268417622109,65.3246594729546,73.4065903538368,73.3479939853055,53.8778284174051
Q2,0,0,25.6693913082788,27.4248498766866,43.4017628945441,44.4745031026364,0,0,0,0,0,0,72.2736262094095,68.9531163514674,69.4003486197815,90.2998397012879,90.2373731920321,52.1503986253436
Q3,0,0,35.3550488483449,36.6033362546827,46.7769477258127,47.3625325552199,0,0,0,0,0,0,45.1789402241875,47.9250931710337,48.3499298254139,57.9371002413872,57.9643714022661,6.01508629257141
Q4,0,0,40.1719385564921,40.622431305716,43.5667698159474,43.8535919932264,0,0,0,0,0,0,33.3890320266901,41.9541189198087,42.1992418123526,35.7896470975371,35.815873213964,8.00082918602226
Q5,0,0,26.9589087545929,27.4807271900734,31.2961948969045,31.7142898545228,0,0,0,0,0,0,52.2842934387247,60.3824548796267,60.4129037429883,45.9576899183619,46.0124918664574,35.1992997829191
Q6,0,0,4.21030495301113,4.61759089778645,9.20537845262909,9.7008085431515,0,0,0,0,0,0,79.3093803593318,82.5019511350802,82.4203787728099,66.3428859127263,66.4158714670833,62.7268014636971
Q7,0,0,0.190152729220775,0.230137914913685,1.13073716980223,1.27757623136677,0,0,0,0,0,0,58.7353535090244,59.951257991189,60.4350470081776,78.41332601071,78.365680814321,71.0070687017775
Q8,0,0,0.359087465478021,0.451432825209069,2.99545871415304,3.42303615693882,0,0,0,0,0,0,32.8061662838644,36.5942002503351,37.2662983327714,51.0957106282337,51.0676992141369,68.6847022265473
Q9,0,0,0.91249550135892,1.12612538424082,5.79632943451445,6.4806214432838,0,0,0,0,0,0,30.3190421899077,29.2611920625321,30.0376421077579,60.2330465542871,60.1920160537969,45.4458450193617
